SMALLINT
INT2
INTEGER
INT
INT4
BIGINT
INT8
DECIMAL
NUMERIC
REAL
FLOAT4
DOUBLE PRECISION
FLOAT8
FLOAT
BOOLEAN
BOOL
CHAR
CHARACTER
NCHAR
BPCHAR
VARCHAR
CHARACTER VARYING
NVARCHAR
TEXT
DATE
TIMESTAMP
TIMESTAMPTZ
GEOMETRY
